LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,Province No,Province Sinhala,Province Tamil,Province English,District,Province No,Province Sinhala,Province Tamil,Province English,Divisional Secretariat,Province No,Province Sinhala,Province Tamil,Province English
1-1-03-005,005,______________,_____________,Sammanthranapura,,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-010,010,___________,__________,Mattakkuliya,C26,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-015,015,____,______,Modara,C27,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-020,020,__________,____________,Madampitiya,C19,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-025,025,______,_______,Mahawatta,C20,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-030,030,_________,____________,Aluthmawatha,C3,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-035,035,_________,_____________,Lunupokuna,C18,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-040,040,___________,____________,Bloemendhal,C4,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-045,045,______ ________,_______________ _______,Kotahena East,C16,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-050,050,______  _____,_______________ _______,Kotahena West,C17,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-055,055,_________ ____,___________ ______,Kochchikade North,C14,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-060,060,___________,______________,Jinthupitiya,C11,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-065,065,______ ______,_______ ____,Massangar Street,C25,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-070,070,____ _____,_____ _____,New Bazaar,C29,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-075,075,_____________ ____,_____________ _______,Grandpass South,C8,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-080,080,_____________  ____,_____________ ______,Grandpass North,C7,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-085,085,________,________,Nawagampura,C28,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-090,090,__________  ________,___________ _______,Maligawatta East,C22,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-095,095,_________,___________,Kettarama,C13,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-100,100,________  ________,_________ _______,Aluthkade East,C2,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-105,105,________ _____,_________ _______,Aluthkade West,C2,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-110,110,_________  ____,_____________ ______,Kochchikade South,C15,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-115,115,________,_____________,Pettah,C31,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-120,120,_____,______,Fort,C5,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
