gn_id,gn_gnc,gn_gnname,gn_mbile,gn_email,gn_dvcode,gn_version,gn_is_deleted,gn_created_at,gn_updated_at,gn_created_by,gn_updated_by,gn_version_number
1,1-1-03-005,සම්මන්ත්‍රණපුර / Sammanthranapura / சம்மந்திரணபுர,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
2,1-1-03-010,මට්ටක්කුලිය / Mattakkuliya / மட்டக்குளி,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
3,1-1-03-015,මෝදර / Modara / மோத‍ரை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
4,1-1-03-020,මාදම්පිටිය / Madampitiya / மாதம்பிட்டிய,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
5,1-1-03-025,මහවත්ත / Mahawatta / மஹவத்தை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
6,1-1-03-030,අළුත්මාවත / Aluthmawatha / அளுத்மாவத்தை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
7,1-1-03-035,ලුණුපොකුණ / Lunupokuna / ளுணு‎பொக்குண,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
8,1-1-03-040,බ්ලූමැන්ඩල් / Bloemendhal / புளூ‎மெண்டல்,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
9,1-1-03-045,කොටහේන නැගෙනහිර / Kotahena East / ‎கொட்டாஞ்‍சேணை கிழக்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
10,1-1-03-050,කොටහේන  බටහිර / Kotahena West / ‎கொட்டாஞ்‍சேணை ‍மேற்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
11,1-1-03-055,කොච්චිකඩේ උතුර / Kochchikade North / ‎கொச்சிகடை வடக்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
12,1-1-03-060,ජින්තුපිටිය / Jinthupitiya / ஜிந்துப்பிட்டி,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
13,1-1-03-065,මසංගස් වීදිය / Massangar Street / மசங்கஸ் வீதி,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
14,1-1-03-070,නිව් බසාර් / New Bazaar / புதிய பசார்,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
15,1-1-03-075,ග්‍රෑන්ඩ්පාස් දකුණ / Grandpass South / கி‍ரேண்ட்பாஸ் ‎தெற்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
16,1-1-03-080,ග්‍රෑන්ඩ්පාස්  උතුර / Grandpass North / கி‍ரேண்ட்பாஸ் வடக்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
17,1-1-03-085,නවගම්පුර / Nawagampura / நவகம்புர,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
18,1-1-03-090,මාලිගාවත්ත  නැගෙනහිර / Maligawatta East / மாளிகாவத்தை கிழக்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
19,1-1-03-095,ඛෙත්තාරාම / Kettarama / ‎கெத்தாராமை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
20,1-1-03-100,අළුත්කඩේ  නැගෙනහිර / Aluthkade East / புதுக்கடை கிழக்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
21,1-1-03-105,අළුත්කඩේ බටහිර / Aluthkade West / புதுக்கடை ‍மேற்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
22,1-1-03-110,කොච්චිකඩේ  දකුණ / Kochchikade South / ‎கொச்சிக்கடை தெற்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
23,1-1-03-115,පිටකොටුව / Pettah / புறக்‍கோட்டை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
24,1-1-03-120,කොටුව / Fort / கோட்டை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
25,1-1-03-125,ගාලුමුවදොර / Galle Face / காலி முகத்துவாரம,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
26,1-1-03-130,කොම්පඤ්ඤ වීදිය / Slave Island / ‎கொம்பணித்‎தெரு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
27,1-1-03-135,හුණුපිටිය / Hunupitiya / ஹுணுப்பிட்டிய,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
28,1-1-03-140,සුදුවැල්ල / Suduwella / சுது‎வெல்ல,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
29,1-1-03-145,කෙසෙල්වත්ත / Keselwatta / வாழைத்‍தோட்டம் (கெசெல்வத்த),,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
